58168|28|9|420dpi|1080x2034|OnePlus|OnePlus5T|ONEPLUS A5010|qcom|381185749|Instagram 242.0.0.16.111 Android (28/9; 420dpi; 1080x2034; OnePlus; ONEPLUS A5010; OnePlus5T; qcom; en_GB; 381185749)
58169|28|9|320dpi|720x1422|HUAWEI|HWMRD-M1|MRD-LX1|mt6761|381185702|Instagram 242.0.0.16.111 Android (28/9; 320dpi; 720x1422; HUAWEI; MRD-LX1; HWMRD-M1; mt6761; it_IT; 381185702)
58170|29|10|440dpi|1080x2130|Xiaomi|ginkgo|Redmi Note 8|qcom|381185749|Instagram 242.0.0.16.111 Android (29/10; 440dpi; 1080x2130; Xiaomi/xiaomi; Redmi Note 8; ginkgo; qcom; pt_BR; 381185749)
58171|30|11|320dpi|720x1406|samsung|a20e|SM-A202F|exynos7884B|379517353|Instagram 241.1.0.18.114 Android (30/11; 320dpi; 720x1406; samsung; SM-A202F; a20e; exynos7884B; it_IT; 379517353)
58172|30|11|440dpi|1080x2167|Xiaomi|eos|21061119DG|mt6768|379517355|Instagram 241.1.0.18.114 Android (30/11; 440dpi; 1080x2167; Xiaomi/Redmi; 21061119DG; eos; mt6768; it_IT; 379517355)
58173|29|10|540dpi|1080x2137|HUAWEI|HWJSN-H|JSN-L21|kirin710|360889105|Instagram 229.0.0.17.118 Android (29/10; 540dpi; 1080x2137; HUAWEI/HONOR; JSN-L21; HWJSN-H; kirin710; ru_BY; 360889105)
58174|31|12|420dpi|1080x2182|samsung|c1s|SM-N980F|exynos990|381185720|Instagram 242.0.0.16.111 Android (31/12; 420dpi; 1080x2182; samsung; SM-N980F; c1s; exynos990; iw_IL; 381185720)
58175|30|11|320dpi|720x1460|TCL|Hong_Kong_Pro|6156D|mt6762|381185744|Instagram 242.0.0.16.111 Android (30/11; 320dpi; 720x1460; TCL; 6156D; Hong_Kong_Pro; mt6762; it_IT; 381185744)
58176|31|12|320dpi|720x1451|samsung|a32x|SM-A326B|mt6853|381185630|Instagram 242.0.0.16.111 Android (31/12; 320dpi; 720x1451; samsung; SM-A326B; a32x; mt6853; it_IT; 381185630)  
58177|30|11|480dpi|1080x2161|OPPO|OP4F11L1|CPH2219|qcom|381185644|Instagram 242.0.0.16.111 Android (30/11; 480dpi; 1080x2161; OPPO; CPH2219; OP4F11L1; qcom; en_US; 381185644)    
58178|30|11|480dpi|1080x2268|OPPO|OP4B83L1|CPH1907|qcom|381185749|Instagram 242.0.0.16.111 Android (30/11; 480dpi; 1080x2268; OPPO; CPH1907; OP4B83L1; qcom; it_IT; 381185749)    
58179|31|12|560dpi|1440x2898|Xiaomi|venus|M2011K2G|qcom|381889086|Instagram 243.0.0.13.111 Android (31/12; 560dpi; 1440x2898; Xiaomi; M2011K2G; venus; qcom; it_IT; 381889086)    
58180|30|11|420dpi|1080x2218|samsung|a50|SM-A505FN|exynos9610|358645741|Instagram 227.0.0.12.117 Android (30/11; 420dpi; 1080x2218; samsung; SM-A505FN; a50; exynos9610; it_IT; 358645741)
58181|30|11|300dpi|720x1465|samsung|a12|SM-A125F|mt6765|381185509|Instagram 242.0.0.16.111 Android (30/11; 300dpi; 720x1465; samsung; SM-A125F; a12; mt6765; it_IT; 381185509)    
58182|30|11|280dpi|720x1473|samsung|a12s|SM-A127F|exynos850|356747115|Instagram 226.0.0.16.117 Android (30/11; 280dpi; 720x1473; samsung; SM-A127F; a12s; exynos850; it_IT; 356747115)
58183|29|10|440dpi|1080x2131|Xiaomi|lavender|Redmi Note 7|qcom|381477757|Instagram 243.0.0.0.111 Android (29/10; 440dpi; 1080x2131; Xiaomi/xiaomi; Redmi Note 7; lavender; qcom; en_US; 381477757)
58184|29|10|420dpi|1080x2094|samsung|star2lte|SM-G965F|samsungexynos9810|381185749|Instagram 242.0.0.16.111 Android (29/10; 420dpi; 1080x2094; samsung; SM-G965F; star2lte; samsungexynos9810; it_IT; 381185749)
58185|29|10|440dpi|1080x2168|Xiaomi|joyeuse|Redmi Note 9 Pro|qcom|381185749|Instagram 242.0.0.16.111 Android (29/10; 440dpi; 1080x2168; Xiaomi/Redmi; Redmi Note 9 Pro; joyeuse; qcom; en_US; 381185749)
58186|31|12|480dpi|1080x2168|samsung|r8q|SM-G780G|qcom|374667213|Instagram 238.0.0.14.112 Android (31/12; 480dpi; 1080x2168; samsung; SM-G780G; r8q; qcom; it_IT; 374667213)      
58187|31|12|480dpi|1080x2168|samsung|r8q|SM-G780G|qcom|381185749|Instagram 242.0.0.16.111 Android (31/12; 480dpi; 1080x2168; samsung; SM-G780G; r8q; qcom; it_IT; 381185749)      
58188|29|10|280dpi|720x1423|samsung|a30s|SM-A307FN|exynos7904|381185744|Instagram 242.0.0.16.111 Android (29/10; 280dpi; 720x1423; samsung; SM-A307FN; a30s; exynos7904; it_IT; 381185744)
